N,P,K,temperature,humidity,ph,rainfall,label
90.37,52.89,36.97,21.82495845,85.47575738,5.74196322,222.69510281,rice
73.69,48.56,41.06,23.59196979,87.67424038,6.61403152,223.40030995,rice
67.89,53.77,42.64,27.12702386,78.26272583,6.51320902,233.6522921,rice
79.12,48.08,31.43,25.56246384,85.26602936,7.0652367,325.98297466,rice
76.81,47.71,40.05,28.35546363,73.34390139,6.74288399,177.1667453,rice
54.18,31.83,33.09,26.1725636,77.65819794,6.38627117,189.45948959,rice
86.11,39.18,46.59,21.01723646,78.17586281,6.56137052,236.98844883,rice
94.25,48.96,33.96,22.09916181,79.13608028,6.86252111,251.35172035,rice
78.81,54.96,37.36,23.15941563,82.90380202,7.26409064,232.05867279,rice
76.49,39.63,43.43,22.03088656,83.71842509,5.54919505,277.72747835,rice
66.68,41.78,45.29,20.16382316,81.60272482,6.53712804,196.05772747,rice
93.43,59.99,30.14,19.87752426,86.04116101,5.84848793,220.45450586,rice
81.3,53.53,38.88,23.7380523,78.11633541,7.1461808,216.18744572,rice
83.4,43.91,40.53,23.07959224,81.18767914,5.99310957,267.85651177,rice
94.14,49.95,43.66,25.5951697,86.6399289,6.65167838,244.4902912,rice
88.64,48.55,35.13,23.55962089,72.55792304,6.49704988,252.53489345,rice
92.36,49.21,44.64,23.49865621,76.88261827,5.79431014,197.21062487,rice
66.34,53.07,38.96,24.92578723,82.36715715,7.02202477,278.40771164,rice
73.55,45.81,37.34,19.44671981,85.37608573,7.09439739,235.74286435,rice
75.07,56.73,28.28,23.94368799,82.71641987,6.21457147,291.66298123,rice
89.71,45.91,39.57,22.52994009,79.43940046,5.84590004,291.19793815,rice
90.28,54.39,34.53,28.70211291,91.90082633,6.59402858,199.83117391,rice
71.34,51.35,35.43,23.41447279,87.44322355,5.74658813,316.22914782,rice
95.67,38.1,32.93,22.79144537,76.844284,6.36813959,132.75256138,rice
77.71,62.42,34.42,22.81732791,74.551954,6.81911876,226.98723243,rice
99.41,49.65,38.14,24.87568124,79.4688602,5.83034591,248.07791079,rice
78.25,49.33,41.88,22.22420082,84.10788186,7.36884829,191.68801881,rice
97.37,46.06,36.17,29.56805143,82.77510817,7.1852015,268.70376964,rice
63.19,48.97,37.37,20.14551851,73.14144317,6.55114512,259.61012043,rice
83.91,45.55,36.01,21.03284705,79.22419703,5.9834724,227.86901395,rice
79.77,40.83,38.84,21.5991999,81.97763797,6.75354385,243.12500936,rice
84.72,34.78,38.11,24.19184844,85.2058123,5.70099832,242.36713015,rice
92.06,46.57,39.53,24.62614221,83.23559092,6.83731868,238.89655456,rice
81.52,41.74,39.15,26.63280509,80.97915122,6.41571786,216.33986512,rice
87.87,41.16,44.55,21.15756651,76.71109437,6.60296973,241.20717878,rice
82.98,56.5,37.94,24.60748398,77.45091367,7.12958451,261.29834666,rice
85.37,49.5,36.07,22.6815711,84.50889731,6.49040794,240.9497865,rice
66.4,49.45,36.54,20.79165862,81.22657305,5.57174787,263.94279962,rice
88.52,47.57,35.03,21.13657795,81.24438473,5.28813313,243.21907132,rice
86.64,45.5,37.53,23.95491815,83.75322034,7.04707588,236.73586717,rice
73.1,44.31,40.91,27.39050094,80.39863348,5.97373667,201.19573519,rice
59.04,50.64,33.19,20.41622618,72.11992693,5.94100581,258.73657908,rice
64.89,34.0,20.53,21.47648613,67.59314008,6.5702799,87.87251604,maize
65.02,47.01,21.5,20.75103313,56.37523251,6.75130603,81.77128535,maize
73.91,48.13,23.09,23.29085926,63.00064408,6.54106667,120.20536739,maize
91.88,53.38,16.63,33.75617623,57.80805729,6.01409855,77.50166209,maize
94.27,51.36,15.72,23.30276153,68.28143401,6.04075849,69.69715316,maize
70.75,44.51,20.07,20.94027015,69.41132243,5.72502625,62.02919697,maize
70.61,58.79,18.28,29.52242666,67.94890541,5.61778697,75.48570705,maize
80.43,38.58,27.12,19.52732766,69.08566074,6.93006495,86.36199389,maize
68.04,45.82,21.09,25.12725628,65.34030162,5.49988879,88.6348586,maize
71.27,30.53,17.91,18.20264798,68.52112644,7.17208238,115.88130485,maize
72.27,44.26,22.07,25.68385684,62.48756848,6.12868203,121.10394024,maize
76.93,44.12,20.36,24.23910709,58.87014886,6.0757986,70.50459072,maize
75.22,63.02,22.23,22.22237025,59.40132785,6.04429602,103.76099992,maize
72.38,59.6,15.88,21.62986112,75.456586,5.19608062,105.82619736,maize
59.49,47.28,19.48,24.97288047,46.07274112,5.24109509,79.5097556,maize
78.37,40.85,19.34,18.9414805,62.5923622,5.77661693,91.66031952,maize
83.81,59.46,18.03,21.54602453,65.28647256,6.05254037,87.22014179,maize
62.38,50.97,17.25,19.6291153,55.47124278,6.78050082,85.89086348,maize
89.49,50.18,14.89,19.24891071,69.54759184,5.81715864,71.64483927,maize
76.21,46.58,16.96,21.52156423,62.12904396,4.90500518,95.5399529,maize
69.89,58.44,16.55,17.76120486,72.12574366,5.40747244,78.45738596,maize
83.97,45.36,15.03,23.0641057,63.83406253,6.84192753,96.82971856,maize
108.36,34.83,19.93,19.30003653,71.928503,6.61091899,99.3105674,maize
70.23,42.04,13.91,27.62850043,68.04931577,6.06957002,102.00273015,maize
85.51,55.8,15.13,20.35849217,66.17265189,6.37771057,102.35852295,maize
67.91,49.02,26.62,24.57576593,70.2233773,6.19040636,99.5144052,maize
96.04,48.85,23.67,19.87458187,68.5405926,6.65210834,76.71994931,maize
88.98,42.6,17.58,22.49642295,76.59193846,6.35457648,102.03677173,maize
70.68,48.62,16.47,20.78668088,70.01384401,6.18080135,109.76944513,maize
75.98,46.42,23.83,20.55415048,55.88141236,6.85063846,94.21281814,maize
56.35,48.36,18.79,27.73451898,60.62605152,5.90961597,74.34398765,maize
67.46,42.4,15.69,19.40640786,55.36048858,5.45136064,64.60487453,maize
72.79,42.53,16.32,23.93481263,64.71154471,5.98401202,81.04040081,maize
93.93,49.92,21.43,14.74188017,61.07759306,5.11449661,81.60693509,maize
81.73,42.61,21.56,19.43175007,68.45481889,5.42319533,84.07467623,maize
82.2,52.29,19.62,28.31914281,62.51348098,5.97450213,46.60738802,maize
95.69,45.05,16.47,26.46271334,72.41303674,6.25416281,66.47617647,maize
82.19,43.03,16.49,25.6301171,52.20444748,6.48358163,94.89032645,maize
98.51,50.6,13.82,19.99163704,65.38800153,6.37778182,102.71224115,maize
58.4,45.36,22.91,27.13190939,76.16614294,6.00489041,104.46407885,maize
95.12,57.58,22.17,24.98339078,60.26069413,5.47637511,102.74271893,maize
74.53,47.77,18.26,21.32127947,66.39649637,5.68907031,89.02750018,maize
80.46,47.38,17.77,24.85985956,76.23582178,5.89937852,106.51694276,maize
86.89,26.77,17.72,20.59247909,69.6906293,6.29424394,95.11597134,maize
84.36,40.81,17.76,18.83133311,63.9783764,6.1404484,90.5680799,maize
70.73,55.25,22.75,27.13955643,69.26784737,6.29275562,98.08635959,maize
84.1,42.79,23.87,27.65555446,76.86171908,6.21761285,92.86405665,maize
82.16,47.98,21.86,22.13646045,63.83729958,7.07949108,90.4707316,maize
78.67,55.06,20.45,23.37486677,64.61861494,5.58979175,87.53542426,maize
66.63,49.68,16.46,25.25012739,69.49540859,6.34021413,86.49799183,maize
82.16,32.28,16.71,22.05380021,67.0715566,6.16030211,72.93084792,maize
79.33,44.37,16.79,23.48850605,63.74013076,6.79824159,97.982981,maize
85.35,50.57,17.46,19.69311857,56.17305141,7.63950625,71.80832816,maize
75.9,45.12,19.16,20.74784848,53.7899309,5.70090313,67.13995705,maize
76.73,42.53,17.94,23.14763774,61.50328953,6.66604707,82.20730321,maize
80.25,37.4,21.97,21.28444982,67.4525485,6.36500258,85.39835266,maize
80.17,44.92,24.04,25.30286656,67.89496556,5.60992979,71.51041517,maize
71.36,46.04,21.34,19.81038645,72.06244443,6.20179741,57.80827338,maize
73.25,27.32,17.74,20.85261645,61.33753919,6.03737323,82.08847278,maize
72.06,60.02,23.64,19.07447803,72.52339939,5.38931626,75.78081745,maize
93.25,30.08,21.72,18.73951765,64.13599925,6.10989839,113.45806318,maize
69.89,47.45,21.88,21.74466753,60.06759604,6.17040011,89.40267229,maize
86.84,40.46,18.65,23.46882807,63.99699538,6.10735988,87.74495345,maize
71.04,41.6,21.32,19.21469972,71.99230311,6.30865246,68.85188363,maize
80.83,49.34,22.29,25.97654872,62.80148531,5.84611865,78.91027684,maize
68.19,42.03,20.85,22.54579744,62.05185796,5.83087209,93.21829404,maize
72.98,39.68,19.54,21.70651921,58.57975224,6.61358818,100.69018645,maize
78.41,49.05,21.58,22.40723258,70.34775347,7.02800424,89.20739564,maize
82.4,54.99,18.99,19.11508645,70.43600489,5.41561782,114.83255035,maize
86.7,49.5,20.15,27.75407384,59.32264426,5.61990327,79.02796113,maize
75.38,39.95,20.46,22.90783484,60.11685711,7.00152633,67.1188909,maize
65.23,51.01,19.38,23.75318056,61.28617627,5.68333011,78.31684789,maize
71.16,52.2,18.56,24.78429113,68.52845207,6.72029817,101.51078543,maize
85.84,54.16,18.45,21.71434757,54.01923718,6.34587528,77.8935113,maize
82.02,52.22,15.94,19.4584819,62.90392199,5.94119967,90.50530276,maize
66.45,48.38,14.93,16.03466892,69.29998184,5.54734326,79.60123439,maize
63.83,36.73,18.8,21.26961488,70.89552279,6.42475601,84.08322194,maize
85.58,56.93,21.23,21.28105159,71.11162026,7.08426081,97.90801478,maize
95.71,55.41,22.55,19.22944055,58.31870392,6.17525826,62.95813459,maize
72.07,54.94,18.0,24.09957306,56.89249462,5.95317949,103.35160644,maize
80.09,50.32,25.11,26.39041051,59.73885858,6.85894931,78.77133816,maize
77.82,48.12,23.22,19.11220008,67.7111653,6.46200744,100.17269909,maize
75.9,56.03,17.87,25.94117624,67.11344101,5.49995855,94.11880508,maize
79.79,45.15,17.79,21.77942113,56.34705792,7.04535973,71.07581792,maize
71.39,57.16,21.76,24.66073611,74.10025071,6.04392863,72.30257614,maize
86.44,54.37,19.02,18.70326023,72.43490331,6.48792369,67.39789117,maize
85.8,36.47,18.55,19.13007165,61.17301657,5.7833445,78.80033781,maize
85.24,50.36,21.89,25.77702637,62.76378497,6.23994734,96.07229497,maize
95.07,55.19,24.14,25.55689417,71.3435925,5.30766492,101.21288791,maize
80.13,48.43,18.42,21.22417777,67.49708443,6.61998788,65.53321593,maize
80.18,43.51,17.15,23.67786683,63.02769301,5.87048166,76.46252445,maize
80.81,47.92,16.73,19.97700711,63.90496112,6.40257391,72.25428241,maize
82.88,41.41,28.18,19.67699141,60.25924676,6.29700169,74.46428549,maize
86.28,62.41,18.84,23.01831312,61.893442,6.19998555,109.47601628,maize
86.94,40.77,24.64,25.98618399,67.91820991,5.87039129,88.9856131,maize
70.05,51.74,19.05,15.79511391,70.55721834,6.29572652,104.17724604,maize
76.64,49.51,23.35,23.66339121,66.72801038,7.80719549,85.46499714,maize
79.69,61.87,17.58,19.3770081,56.4076052,6.46683123,97.38446117,maize
85.41,37.17,23.02,26.09179764,64.41613205,6.21628323,98.13393667,maize
81.67,53.14,16.74,21.97613284,57.72515984,6.51563848,95.95324693,maize
39.21,70.37,72.22,21.07377579,15.13091572,7.05162041,96.73054578,chickpea
33.95,77.58,80.62,18.58457047,19.22418227,6.50118977,88.91159266,chickpea
40.49,76.29,78.92,17.41004766,18.47855261,6.97625288,62.39046988,chickpea
38.45,78.14,79.53,15.88862012,19.86374802,6.25862253,48.19599124,chickpea
39.97,69.45,81.1,15.82165133,16.39800152,6.4405067,83.29343466,chickpea
27.08,66.81,81.31,13.2301229,14.9099883,7.3152585,103.23451825,chickpea
27.97,70.72,73.82,14.46422599,23.38429532,7.26727289,67.93708554,chickpea
41.75,73.14,80.91,25.24183623,19.42311656,5.80280735,75.64700356,chickpea
34.11,66.37,80.07,16.54657122,12.66032958,7.5453622,88.96012991,chickpea
34.63,73.44,83.38,22.30192238,12.77874669,7.31195265,70.88317483,chickpea
49.24,66.46,68.64,18.60606192,9.86334991,6.91314023,79.12712555,chickpea
36.79,56.1,74.42,15.9662282,16.00756556,7.51539991,90.63628146,chickpea
36.22,78.19,73.16,20.55506395,16.2990612,7.09452992,89.57693292,chickpea
34.56,74.41,79.95,25.73539671,15.78295566,7.50766993,89.70635639,chickpea
30.61,78.88,74.7,11.80401449,20.41326274,7.42758135,80.78038447,chickpea
37.91,80.67,83.56,16.53240223,19.92613192,6.50268335,71.61548093,chickpea
31.59,50.4,74.11,22.16698371,12.60871248,6.77998719,62.58539475,chickpea
46.92,68.01,82.45,18.18293966,12.31589213,6.61042288,92.5589891,chickpea
39.54,74.2,64.19,21.83032621,15.02413124,7.8691429,72.33867375,chickpea
40.23,73.28,75.62,21.11821379,14.41913636,7.51564124,91.89809385,chickpea
43.97,62.21,78.95,19.39973483,8.86662904,6.77930028,94.07110256,chickpea
29.85,78.23,76.86,19.46977203,12.4093446,7.19375131,86.94092046,chickpea
49.09,78.83,86.27,19.12675695,12.09534353,7.52950603,60.43797896,chickpea
36.49,73.9,82.22,23.27919615,16.98378629,6.32397241,75.87112393,chickpea
41.39,65.2,87.06,17.75716217,11.2566108,7.18671579,62.78472175,chickpea
53.6,70.16,72.98,21.73817548,26.47698619,6.19837758,93.54610263,chickpea
43.87,69.41,81.72,19.97565699,14.22798066,7.56439594,59.75713758,chickpea
55.67,80.22,74.07,18.48379961,22.67943595,6.80360223,77.56387183,chickpea
36.78,77.34,76.96,18.47052322,19.16086161,6.91695932,67.00352711,chickpea
29.27,55.85,74.1,13.33835134,14.09249285,7.12008592,80.81143053,chickpea
33.39,59.86,75.03,14.33630593,12.05648969,7.28574463,58.9308274,chickpea
40.14,63.06,92.14,13.1092159,17.77320342,6.86649976,68.43304453,chickpea
42.52,69.24,74.66,19.77883208,18.55667431,7.52378789,70.8504318,chickpea
51.76,66.43,70.12,20.0692874,16.67363917,6.64705962,93.99860516,chickpea
36.23,76.14,79.59,20.75096521,19.71791104,7.18926717,64.51934856,chickpea
47.36,68.17,90.01,19.93600965,20.00450494,6.69404282,73.90787622,chickpea
40.77,58.64,74.15,18.17425173,16.6885152,7.08082995,96.75656201,chickpea
36.8,73.45,79.28,17.91796426,18.02827221,6.17290869,80.99535297,chickpea
34.89,60.56,70.57,17.17132673,9.49025571,7.34804926,76.41039021,chickpea
26.54,62.61,83.77,16.7153496,15.87512878,6.85232671,78.07585843,chickpea
26.4,67.64,77.21,27.36133779,16.14796648,6.81775016,94.82715511,chickpea
38.75,70.03,75.63,23.16568421,14.4893013,7.15014011,96.98536296,chickpea
37.56,68.0,82.93,20.54804574,12.63960806,7.07259329,65.81946447,chickpea
34.04,62.81,86.08,23.289732,27.42181038,6.97737983,67.37889677,chickpea
32.24,80.86,72.31,17.54909432,14.73574782,7.69999811,64.79983852,chickpea
48.81,78.51,79.17,19.89648588,10.84514267,6.96471688,76.77459417,chickpea
19.36,71.32,81.78,13.41987185,11.35089668,6.70028434,72.06227327,chickpea
37.55,60.34,74.96,19.41953973,15.09900784,6.95727976,76.55480197,chickpea
43.66,66.77,84.31,18.80899558,20.55613719,7.49883289,58.09286815,chickpea
47.38,82.26,75.14,18.40438788,15.57118362,7.17633357,87.79987809,chickpea
34.65,78.5,75.72,18.08504314,21.09436913,7.78137516,72.31017136,chickpea
46.26,69.76,72.09,15.63443522,12.18091693,6.79867318,73.74817754,chickpea
40.22,78.22,82.11,26.45918797,16.02628823,7.31570117,86.21617542,chickpea
52.05,64.97,84.23,23.38721827,14.11674861,6.97005134,87.56459459,chickpea
36.52,61.0,89.16,17.81104969,23.93637237,6.79662987,76.89366624,chickpea
46.38,66.35,75.51,16.34026645,18.09068943,6.73355439,81.3210163,chickpea
21.94,63.54,79.1,16.96207488,13.02565353,6.64659817,81.05781336,chickpea
51.9,56.81,78.62,21.43114881,18.33783142,6.96249705,73.23931095,chickpea
40.11,67.19,69.07,16.35265031,9.20164432,7.51642261,92.3397276,chickpea
33.69,74.44,92.24,16.63077062,22.19710043,7.14500205,76.4495117,chickpea
31.15,63.55,78.03,11.55267311,19.12184749,6.87130748,86.88866325,chickpea
36.65,91.99,71.71,15.70082164,19.82082177,7.9433871,65.1137195,chickpea
54.63,60.66,86.47,18.72618365,25.91999416,7.71279411,70.28415994,chickpea
63.49,59.01,78.43,23.92370941,14.06086758,6.74345946,81.95945596,chickpea
43.62,71.1,76.27,19.09068055,19.54970163,7.60159624,84.92240732,chickpea
29.98,68.23,76.9,22.45709273,10.29831001,7.22389326,64.01905546,chickpea
50.18,74.17,81.1,20.01481614,15.65247968,7.27031092,79.25559977,chickpea
45.85,68.47,67.59,16.95902695,23.0699698,7.58101609,81.56823681,chickpea
38.99,65.32,83.15,20.23711317,13.08363264,7.26466006,98.49344917,chickpea
32.36,66.51,82.32,20.6682589,15.3178596,6.78852896,73.04171978,chickpea
43.08,71.43,79.9,14.40732813,12.64005275,7.25472961,61.6836768,chickpea
41.81,65.11,76.99,18.58009538,23.70540836,7.11552663,75.5650141,chickpea
28.21,72.1,85.68,20.32212814,21.66381643,7.19063927,60.45087786,chickpea
39.64,72.2,83.61,17.02077068,16.74653862,7.14634786,99.06939525,chickpea
48.04,73.17,81.98,15.4241559,12.59616074,6.96325814,95.62375075,chickpea
43.16,72.49,72.49,14.11503873,21.47953531,6.98614463,60.29468182,chickpea
47.06,70.06,94.76,22.25000134,18.3867893,6.93955618,83.48443262,chickpea
39.18,56.49,84.64,19.32457255,5.98117286,6.74579071,67.56887241,chickpea
47.85,67.65,87.44,13.72544122,12.69685553,7.42683781,70.17167973,chickpea
31.53,63.79,76.2,20.11798354,21.47267044,6.36523231,75.63835259,chickpea
40.11,68.66,84.17,18.85954132,14.68078657,6.55524259,52.62936093,chickpea
37.03,68.12,84.61,17.36669267,26.2948171,6.96940817,72.74984361,chickpea
43.04,60.24,81.04,12.30770944,19.7043763,7.02667146,83.15856174,chickpea
41.24,57.81,75.51,23.19927474,18.97839032,6.76109469,86.31620832,chickpea
43.26,83.64,85.55,19.73350608,15.20325903,7.71347597,78.47677022,chickpea
33.04,58.24,75.69,17.40774427,20.06160593,7.36527417,97.26604676,chickpea
41.22,74.65,91.3,21.23086826,23.4115303,6.39574458,68.87301574,chickpea
33.99,46.58,80.37,22.67734698,14.85873248,7.07817689,67.18918705,chickpea
36.07,70.28,74.02,22.02209909,9.32496323,7.12889364,72.62777341,chickpea
51.91,74.09,69.58,11.23281018,12.99457436,6.79910945,77.16489589,chickpea
40.24,73.39,73.17,13.09836004,18.00984585,6.8556076,78.44940002,chickpea
34.87,66.61,87.43,13.63018911,12.09787821,7.25664064,103.5111165,chickpea
38.35,57.9,69.99,19.28162734,12.00258311,7.87023157,115.12405304,chickpea
41.81,71.88,79.41,21.92538698,16.98771809,7.0253427,100.40604893,chickpea
45.01,85.05,71.82,16.83325275,13.38437594,7.33671167,72.59614471,chickpea
44.82,58.65,79.53,25.39098632,23.55347289,6.24858723,85.46879696,chickpea
46.61,64.05,74.49,20.48596341,17.40330172,7.22101635,77.62922847,chickpea
58.65,60.69,77.52,20.04465637,19.92696705,6.44851455,99.45969071,chickpea
28.34,68.05,78.46,16.37712557,21.53300172,6.06117889,69.03825782,chickpea
32.78,75.0,87.75,20.82640632,22.58114009,6.11017831,82.45400176,chickpea
13.08,65.0,20.73,20.2838738,27.50301519,4.90854586,88.285271,kidneybeans
12.6,54.89,23.02,20.54725651,28.22645514,6.17408254,106.36300494,kidneybeans
15.15,75.93,17.93,16.40172855,17.39835956,5.74874284,130.31059693,kidneybeans
20.26,77.8,20.27,18.7206537,32.88469496,6.42841781,108.9381396,kidneybeans
15.84,55.13,21.2,19.23346482,23.86800325,5.82921649,113.72552363,kidneybeans
25.71,70.51,17.83,17.68835432,24.33250746,5.27126922,119.36684391,kidneybeans
23.57,67.65,17.66,14.67098381,17.50414015,5.049628,105.53342185,kidneybeans
17.79,60.63,22.62,20.38798366,22.19034771,5.92324671,125.72904892,kidneybeans
11.99,73.65,14.57,17.61684938,26.04858231,5.976489,118.29481792,kidneybeans
20.91,79.3,15.38,19.08453406,22.18939621,6.51411406,125.53099812,kidneybeans
25.19,61.91,26.75,21.41542508,17.97630228,6.63814372,76.46183583,kidneybeans
15.66,66.13,17.06,21.58163359,23.10705074,5.74540333,142.87613663,kidneybeans
11.83,78.93,17.53,24.38649171,29.62085597,6.62062122,101.18971434,kidneybeans
14.18,70.62,19.84,14.71145184,24.94217995,5.33092881,133.84017648,kidneybeans
24.83,65.75,20.11,19.27229828,20.17042679,6.93932426,86.27606238,kidneybeans
20.28,75.93,18.85,18.11437164,16.68359581,6.17681413,119.2400599,kidneybeans
22.35,55.93,21.51,20.85591322,20.6477449,5.14930368,103.86634783,kidneybeans
15.65,68.64,20.19,18.98552521,25.52809385,5.67357978,115.58173912,kidneybeans
22.09,76.07,17.11,18.96408546,25.68797803,5.76141313,127.51610506,kidneybeans
23.73,64.44,22.64,19.22754279,25.82641798,6.44150577,126.83189014,kidneybeans
31.45,55.59,18.35,19.20096624,20.39883783,5.84897922,97.63782914,kidneybeans
25.53,75.88,21.24,16.96336014,24.18949512,5.96971601,112.07770861,kidneybeans
20.15,79.2,18.35,18.89990758,24.66822344,5.91231652,122.05195051,kidneybeans
18.58,57.48,16.29,18.70198185,25.16970066,6.01690567,68.6817755,kidneybeans
22.67,67.3,16.87,26.57232509,23.05583155,6.03096609,156.35050872,kidneybeans
17.09,64.83,24.47,16.07698708,22.29586279,5.71848603,124.40362075,kidneybeans
22.03,60.69,22.92,22.53544824,17.79598362,5.42487872,94.48385006,kidneybeans
14.25,76.52,19.03,19.16650945,17.84897708,5.54218446,134.6990326,kidneybeans
23.74,55.06,17.03,21.90680305,20.00751159,5.47870418,87.79015693,kidneybeans
13.34,68.76,18.86,23.42113361,21.73316824,5.31393154,118.87611002,kidneybeans
26.73,62.11,14.89,18.56310186,16.60036075,6.35664711,77.24510879,kidneybeans
18.36,79.79,22.61,18.45901598,18.86774382,5.62740137,100.19689595,kidneybeans
27.48,66.76,15.95,22.95731896,26.14613157,5.60928159,120.44250069,kidneybeans
20.26,58.35,19.76,16.56596613,19.4633797,5.3244409,111.65689746,kidneybeans
20.93,57.44,17.24,19.99192386,23.8574717,5.72889646,60.86410953,kidneybeans
26.43,82.18,24.75,21.63231185,24.68794355,5.43832306,108.77157337,kidneybeans
14.35,68.97,15.71,21.75560531,20.58177612,6.00682754,108.65147519,kidneybeans
17.7,74.75,16.48,19.2054428,19.84982296,5.99758897,103.48969469,kidneybeans
21.35,72.2,12.96,17.22104554,22.46371984,6.10499036,116.45175523,kidneybeans
26.55,66.23,20.3,18.500603,20.25731099,5.36782526,94.13438813,kidneybeans
19.05,62.79,20.08,14.54409766,23.7117352,5.77098274,113.9245757,kidneybeans
17.68,63.93,22.95,19.53648881,29.94619753,5.13755292,100.05270349,kidneybeans
14.36,61.71,17.63,18.55780317,25.13136844,5.24244238,117.20023483,kidneybeans
12.8,64.76,23.96,21.38612837,23.08912134,5.95204237,116.5195003,kidneybeans
23.14,79.23,16.88,19.7877823,24.5490755,5.99985691,116.16115821,kidneybeans
26.53,63.99,15.95,23.81716075,21.99678783,5.48052544,105.71519198,kidneybeans
17.84,76.05,22.67,20.93519854,24.16347835,5.71304305,125.5301791,kidneybeans
8.18,58.65,19.88,18.75956783,18.1979378,5.94798742,85.43232635,kidneybeans
